Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
597,3540,1176,1163384300,9.767000000000001,233.08900000000003,2230542.206,1375763.289,14.1,7.4,2,22.05,0.0,3,102,214,1,0,2,3,0,0,0.0,0.0
598,3577,57,1163388000,1.817,2053.439,2230794.245,1377512.3390000002,16.5,6.7,2,11.02,0.0,11,114,213,5,0,4,2,0,0,0.0,0.0
599,3584,44,1163388700,9.103,41.394,2230517.134,1375574.3669999999,15.0,7.0,2,13.98,0.0,1,101,201,0,1,2,1,593,0,500.14,35.78
601,3640,1074,1163394300,-0.262,210.668,2230528.3619999997,1375742.781,16.5,7.1,2,23.91,10.02,0,123,214,1,0,2,2,0,0,0.0,0.0
603,3664,105,1163396700,5.244,1247.838,2230834.59,1376708.82,16.0,6.8,2,20.86,5.78,1,121,208,0,4,2,1,530,579,284.27,13.63
605,3644,942,1163394700,-23.364,2056.364,2230768.913,1377511.3769999999,14.5,7.0,2,35.62,0.0,2,115,201,5,0,4,3,0,0,0.0,0.0
606,3644,890,1163394700,-10.499,2060.522,2230780.991,1377517.4540000001,16.0,6.5,2,26.79,0.0,1,114,202,5,0,4,1,590,0,743.27,27.74
607,3644,30,1163394700,0.011000000000000001,2060.74,2230791.344,1377519.2780000002,15.2,6.6,2,20.68,0.0,11,114,213,5,0,4,2,0,0,0.0,0.0
608,3693,198,1163399600,-0.261,1255.708,2230830.1040000003,1376717.3930000002,15.3,7.0,2,23.95,-2.03,1,121,220,0,4,2,1,524,593,433.93,18.12
609,3670,500,1163397300,-20.491999999999997,708.185,2230560.262,1376241.167,17.0,6.7,2,23.32,0.0,2,122,202,2,0,4,3,0,0,0.0,0.0
611,3675,906,1163397800,-12.274000000000001,2059.5679999999998,2230779.3819999998,1377516.24,15.0,7.0,2,29.81,0.0,1,114,201,5,0,4,1,606,0,84.25,2.83
612,3692,177,1163399500,-11.639000000000001,2055.3,2230780.663,1377512.119,17.0,6.5,2,30.38,0.0,1,114,212,5,0,4,1,606,0,150.16,4.94
613,3697,491,1163400000,-24.697,714.9630000000001,2230557.374,1376248.602,14.7,6.8,2,22.85,0.0,2,122,202,2,0,4,3,0,0,0.0,0.0
614,3717,775,1163402000,-8.414,2044.9589999999998,2230785.432,1377502.394,16.5,6.5,2,37.98,0.0,2,115,203,5,0,4,3,0,0,0.0,0.0
617,3750,181,1163405300,-1.506,2050.777,2230791.369,1377509.2,15.5,7.0,2,3.26,0.0,11,114,213,5,0,4,2,0,0,0.0,0.0
619,3751,1113,1163405400,11.875,35.006,2230519.38,1375567.7759999998,16.0,7.0,2,20.62,0.0,1,101,214,0,1,2,1,597,0,1066.52,51.72
624,4559,799,1163486200,16.339000000000002,759.575,2230605.912,1376284.91,15.0,7.0,2,55.82,0.0,0,114,203,2,0,2,2,0,0,0.0,0.0
627,3806,416,1163410900,-20.926,699.4689999999999,2230558.233,1376232.679,14.5,6.5,2,12.3,-0.86,0,122,202,2,0,4,3,0,0,0.0,0.0
630,3781,243,1163408400,-11.449000000000002,2053.044,2230781.196,1377509.919,14.0,7.0,2,38.08,0.0,1,114,212,5,0,4,1,624,0,73.73,1.94
634,3816,502,1163411900,16.089000000000002,1105.12,2230784.915,1376571.064,14.5,7.0,2,16.02,10.6,1,105,221,0,3,2,1,597,619,38.84,2.42
